index,text,location
25,"RT @TRUMP_PREZ: LIAR TED CRUZ has committed more FRAUD this election than probably any candidate in history. THINK. VOTE. TRUMP. https://¡­","Orange County Ca. "
26,"RT @Johnatsrs1949: Pls RT. Trump supporters please call #STOP #RNC @reince and tell him we vote Trump Only. 202 863 8500 press 9 then 7 htt¡­","United States"
27,"RT @WayneDupreeShow: Guess who started KKK label against Donald Trump - MUST WATCH! https://t.co/0xZqbAl8eK via #Trump2016 #AlwaysTrump #Ma¡­","Georgia - USA"
28,"RT @KyleJamesHoward: If the movie Liar Liar was real and Trump took Jim Carey's place. CNN &amp; Fox News would both be NC-17. #YeahIDidIt h¡­","Tucson - Arizona"
29,"RT @lisabailey2014: Trump 2 Saudi Prince Ur Days Of Buying Off American Politicians Over If Im Elected President https://t.co/rgCtnKrhye ht¡­","USA"
30,"https://t.co/0UNpteBGia https://t.co/wNAohTrK43 ¡­ WHO OWNS YOUR CANDIDATE &amp; MEDIA? GLOBALISTS? NO 1 OWNS #Trump https://t.co/UK2LjSkm4J","Rhode Island - USA"
31,"RT @LesgartCPA: Exactly right. If it's not @realDonaldTrump this time the country is lost forever overrun by open borders. #Trump https:¡­","United States"
32,"RT @mitchellvii: Trump isn't going to kill the GOPe it's already dead and had a $35 million funeral in Florida. This is Night of the Livi¡­","Save Christianity~Say No2Islam"
33,"RT @RondaGillette: Arrest and prosecute Donald J. Trump for incitement to violence. Legal precedent: Brandenburg v. Ohio. https://t.co/4NtL¡­","CA - NY - FL - AZ - and the world"
34,"RT @jbendery: Trump has done more than a dozen TV interviews without a single question about his top aide assaulting a reporter https://t.c¡­","Los Angeles - CA"
35,"RT @MikeBates: Trump keeps saying he's self-funding. That's if you don't count the $7 497 985 in contributions he's already accepted. #Neve¡­","Native Floridian"
36,"RT @TRUMP_PREZ: Liberal Nazi sympathyzer George Soros and his surrogates give John Kasich campaign $700 000 - WHY? VOTE TRUMP. https://t.c¡­","Nashville"
37,"RT @USATrustTrump: KASICH Has NO Chance In HELL Of Winning GOP Nomination! 'Golden Boy' To Rig Election Against #Trump! #DefendDonald https¡­","TN"
38,"RT @TRUMP_PREZ: LIAR TED CRUZ is a puppet controlled by banks and big oil. We are tired of dirty politicians. THINK. VOTE. TRUMP https:/¡­","Chandler - AZ"
39,"RT @realDonaldTrump: .@WSJ Editorial says Clinton primary vote total is 8 646 551.Trump's is 7 533 692 -a knock. But she had only 3 oppone¡­","West Virginia - USA"
40,"RT @AdamPlatt1999: Both Trump+Sanders avoid foreign policy but give hints of a Pro-Russian policy. That sets off my alarm bells like littl¡­","Berlin - DC - Venezia"
41,"RT @TRUMP_PREZ: Liberal Nazi sympathyzer George Soros and his surrogates give John Kasich campaign $700 000 - WHY? VOTE TRUMP. https://t.c¡­","Dallas - Texas"
42,"RT @AlysiaStern: Have you seen Trump's tax plan? Half the people that hate him will benefit from him. #BlackLivesMatter https://t.co/y4Qd¡­","United States"
43,"RT @Johnatsrs1949: Pls RT. Trump supporters please call #STOP #RNC @reince and tell him we vote Trump Only. 202 863 8500 press 9 then 7 htt¡­","Cutler Bay - FL"
44,"RT @RichardJSunkle: Trump is a purely destructive force. He doesn't care about destroying the good as long as he wins. https://t.co/hP1z7un¡­","Somewhere - USA"
45,"RT @BeStrongAllways: Hell just froze over! Krauthammer: I Was Wrong for Laughing at Trump¡­ Democrats Are Worried (VIDEO) https://t.co/9BrMY¡­","Long Island NY"
46,"RT @umpire43: @umpire43 Megyn Kelly is crying. Fox announced a new Fox debate for March 21 and she was so happy. Trump announced he will no¡­","Auburn - CA"
47,"RT @SheriffClarke: https://t.co/LXDIrZtj3r @JohnKasich is anti gun and anti cop and people say Trump is not conservative? Seriously? https:¡­","north central ky"
48,"RT @E__Strobel: How does any veteran support #Trump after he said he¡¯d order our troops to commit war crimes then expected they¡¯d obey w/o¡­","nonya"
49,"RT @ChuntiBae: Why do all young Trump supporters look like they should be apart of the Delightful Children from Down the Lane https://t.co/¡­","down south"
50,"RT @TRUMP_PREZ: USAF Generals endorse #TRUMP because he will make America great again. NOT LIAR TED CRUZ https://t.co/1i9Xi5ZXc3 https://¡­","No mans Land"
51,"RT @loudobbsnews: NWO Running Scared! Trump presidency among top 10 global risks: EIU https://t.co/Tdh3X7rIJ6 #MakeAmericaGreatAgain #Tru¡­","Southern California"
52,"RT @StopTrumpPAC: The only 2 hosts on @FoxNews that still dare to speak out against Trump King is @megynkelly &amp; @BretBaier https://t.co/t44¡­","DC/Pittsburgh"
53,"RT @shaffaval_peter: @American912 @mimibra4u Michelle would have been a much better President. My whole family is all in TRUMP. To be fair ¡­","Nunya Bidness -TN"
54,"RT @TRUMP_PREZ: LIAR TED CRUZ is a puppet controlled by banks and big oil. We are tired of dirty politicians. THINK. VOTE. TRUMP https:/¡­","Orange County Ca. "
55,"RT @megynkelly: .@TedCruz: Donald Trump ¡°looks down on the voters. He thinks they¡¯re gullible and will believe whatever he¡¯s saying.¡± #Kel¡­","texas "
56,"RT @ReutersPolitics: Politics Unfiltered: Kasich denies Trump a 5-state sweep while Hillary Clinton rebounds big https://t.co/DXY5QUkaRi h¡­","Riverside - CA"
57,"RT @TRUMP_PREZ: Chances of LIAR TED CRUZ winning enough delegates is near impossible. No matter how much he lies to you VOTE TRUMP https:/¡­","Montgomery - AL"
58,"RT @Johnatsrs1949: Pls RT. Trump supporters please call #STOP #RNC @reince and tell him we vote Trump Only. 202 863 8500 press 9 then 7 htt¡­","Van Alstyne - Texas"
59,"RT @bcnn1: Charles Evers Brother of Slain Civil Rights Leader Medgar Evers Endorses Trump¡­ https://t.co/q5F6wVflIs https://t.co/DMgCTWciMD","FL USA"
60,"RT @SfaLumberjack21: RICO Lawsuit Filed Against George Soros and Donald Trump https://t.co/3zY61ANOQT How is it that this never gets report¡­","Piedmont NC"
61,"RT @Johnatsrs1949: Pls RT. Trump supporters please call #STOP #RNC @reince and tell him we vote Trump Only. 202 863 8500 press 9 then 7 htt¡­","California - USA"
62,"RT @HahnAmerica: I feel like I'm listening to Carl Spackler when these Trumpers try &amp; explain Trump's foreign policy. #NeverTrump https://t¡­","South Carolina - USA"
63,"RT @ScottBLG: Soros Gave $8M to Hillary $700K to Kasich Campaign &amp; Does Biz w/Trump.@NBC @CBS @MSNBC #cruz https://t.co/C4zHZvZFx1 https://¡­","NC"
64,"RT @LollieCouture: GOP corrupt 40B rule #Americans #VOTE #Trump2016 #UnitedWeStand #Cruz #Kasich = Hillary 4potus #Trump FIGHTS 4R #USA htt¡­","Port Saint Lucie Florida"
65,"RT @realDonaldTrump: Highly overrated &amp; crazy @megynkelly is always complaining about Trump and yet she devotes her shows to me. Focus on o¡­","Texas/Honolulu"
66,"RT @TheBaxterBean: White Students Keep Using Anti-Latino ¡®Trump Trump¡¯ Chants at High School Basketball Games https://t.co/qSZRXrQXpJ http¡­","rockledge - florida"
67,"RT @LibertyBritt: Riots &amp; protests -apparently some talking heads on Trump's silent payroll don't know the difference. You people are em¡­","The United States of America"
68,"RT @bethanyshondark: This is life under Trump. Politico gets its press creds pulled for accurate reporting @MIchelleFields gets fired for ¡­","Nunyabizness "
69,"RT @PeculiarBaptist: @nanci_pray2jc @Photogbill222 President Trump would destroy the conservative movement forever. I won't participate in ¡­","washington"
70,"RT @chiefragingbull: Delusional Kasich: Trump and Cruz Are Spoiling My March to the Presidency! - The Rush Limbaugh Show https://t.co/POkbq¡­","California??¡ï??Conservative"
71,"Tht will stp whn Trump gets 1237 delegates. Th will no longer do whtevr th wnt. Trump isn't th status quo candidate. https://t.co/4lBlyudTt1","Paris - TN/Philadelphia - PA"
72,"Trump IS the right candidate 4 POTUS 2016. Don¡¯t leave it to chance or the GOPe. YOU MUST Get Up &amp; Go VOTE 4 Trump! https://t.co/XOm1xvtdqG","California - USA"
73,"RT @mitchellvii: Example of GOPe'ers starting to lean Trump? Kevin McCarthy said Trump intensity could help GOP win House seats. https://¡­","San Diego - CA"
74,"RT @rayz1961: This is Just a small part of the reason why Trump is Bad for America We Need a Man of Principled Character TedCruz https://¡­","Paducah - KY"
75,"RT @jrmadmen: @penelopesire @a9e @STSTWO no matter who wins Trump or Cruz there will be a big upset cuse the GOP won't give either 1 the no¡­","Arizona - USA"
76,"RT @thehill: WATCH: Lightning strikes Trump Tower in Chicago as Trump declared primary winner https://t.co/E73f1azRlt https://t.co/akv3kIQL¡­","Dreamville - USA"
77,"Eric Bolling has a show? Then again I have never watched The Apprentice or any other Trump shows if there were any. https://t.co/IFXfbslm1W","Madison - MS"
78,"RT @HispanicsTrump: Donald Trump is the only candidate who will stand up for the American people! He will be the people's president! https:¡­","Santa Cruz - California - USA"
79,"RT @rightallthetime: @toddstarnes Trump isn't the lesser of two evils though Todd. Trump is a straight-up leftist that would be a disaste¡­","Dallas - TX and Prague - OK"
80,"RT @NFOrangies: @devilchasnme @KatyinIndy @icapturpix @KenDiesel @realDonaldTrump trump said they were uneducated and his supporters were o¡­","Jersey Baby!"
81,"RT @loudobbsnews: Big Help to @realDonaldTrump: Pro-Illegal Immigration Activists to Rally against Trump - Breitbart https://t.co/8Sscf1B9e¡­","Kalymnos "
82,"RT @HillaryClinton: Hate isn't an American value. Division isn't something to be glorified. We can¡¯t let Trump be our next president. https¡­","hss x upd"
83,"RT @WesleyRickard: Wayne Allyn Root Libertarian Party Endorses Donald J Trump for President #CA #AZ #UT #NE #IN #WV #NY #CT #DE #MD #ND htt¡­","Michigan"
84,"RT @FL4TRUMPDOTCOM: Super PACs &amp; special interests...We see your puppet strings. TRUMP can NOT be bought! @realDonaldTrump #FL4????? https://¡­","CALIFORNIA"
85,"RT @citizensrock: Have you seen the ugly face of conservatism that¡¯s responsible for #GovernmentGridlock and the rise of #Trump? https://t.¡­","SanDiego"
86,"RT @Johnatsrs1949: Pls RT. Trump supporters please call #STOP #RNC @reince and tell him we vote Trump Only. 202 863 8500 press 9 then 7 htt¡­","Garrettsville - OH"
87,"RT @Carbel481: @networksmanager @marklevinshow @realbencarson @revjimjonesinc @securefreedom Carson is a good man. Trump needs his help &amp; s¡­","Washington DC"
88,"#LouDobbsTonight If GOP Denounce Trump &amp; refuses to let him run as their candidate for president then I will leave their party. Not Fair!","Mid-South"
89,"RT @TheresaMechele: Florida Gov. Rick Scott Endorsed Donald J. Trump. Called on Republicans to Come together; coalesce behind Trump. htt¡­","Charlotte - NC"
90,"RT @WestWingReport: Trump presidency would hurt U.S. global econ - but help terrorists says risk analysis (Economist Intel Unit) https:/¡­","New York City"
91,"RT @realDonaldTrump: .@WSJ Editorial says Clinton primary vote total is 8 646 551.Trump's is 7 533 692 -a knock. But she had only 3 oppone¡­","Alabama"
92,"RT @HEIDI10USA: I hope your eight Bill they are pulling at everything every string Rush just called TRUMP team the Trump Regime. https:/¡­","Wayne - NJ"
93,"RT @Nationalist1776: Some ppl say Trump is killing GOP. But GOP was ALREADY DEAD since at least 1992 Trump is creating a whole new nation¡­","Montana"
94,"RT @WesleyRickard: Wayne Dupree Conservative Radio Host Endorses Donald J Trump for President of the United States #NY #PA #IN #CA #EIB htt¡­","Dallas - Texas"
95,"Ofc if Bernie gets nominated say hello to free health care and education better economy and Trump just fading away in the democratic wind","Westeros "
96,"RT @_R0da__: That's a easy way for trump to win if Bernie looses Hilary is the next person that we have to vote for. https://t.co/1YqNqewZ¡­","Charlotte - NC"
97,"RT @ggreenwald: 1) It was a joke for GOP to pretend to be offended by Trump's ban-Muslim policy; 2) Trump is not worse than Cruz. https://t¡­","savannah - ga"
98,"RT @TRUMP_PREZ: Last year LIAR TED CRUZ was Welcoming Refugees saying it's safe even w/ FBI director saying otherwise VOTE TRUMP. https:/¡­","Montgomery - AL"
99,"RT @jpodhoretz: Trump has a daughter named Tiffany. He never mentions her. Think about how that makes her feel. Now think about how much he¡­","East Hampton"
100,"RT @HillaryClinton: Hate isn't an American value. Division isn't something to be glorified. We can¡¯t let Trump be our next president. https¡­","Illadelphia"
101,"RT @JoeDanMedia: Trump fans! Fun Watch Dear DC Kiss our A$$. Love America https://t.co/EPowhmcmll @chuckwoolery asked for it! https://t.¡­","Tennessee - USA"
102,"RT @SheriffClarke: https://t.co/LXDIrZtj3r @JohnKasich is anti gun and anti cop and people say Trump is not conservative? Seriously? https:¡­","? USA "
103,"RT @mitchellvii: Trump isn't going to kill the GOPe it's already dead and had a $35 million funeral in Florida. This is Night of the Livi¡­","NH USA "
104,"RT @loudobbsnews: Big Help to @realDonaldTrump: Pro-Illegal Immigration Activists to Rally against Trump - Breitbart https://t.co/8Sscf1B9e¡­","Ohio - USA"
105,"RT @Abbas_Da_Barber: No surprise that a racist organization is hosting racist presidential candidates. @AIPAC #Trump #AIPAC https://t.co/n¡­","Chicago - IL"
106,"RT @CronkiteSays: BREAKING NEWS Hillary says Donald Trump is a danger to the world order he can't go around always putting America first it¡­","#Trump Will Fix This Mess!"
107,"RT @MADE__USA: TRUMP the Establishment - If We All VOTE Trump - We All Win @realDonaldTrump Join together - TRUMP The Establishment https:/¡­","Jersey Baby!"
108,"RT @Mike_Beacham: #TRUTH #TRUMP LEADERSHIP #MakeAmericaGreatAgain EXPERIENCE #FreeEnterprise PROTECT AMERICA @realDonaldTrump https¡­","Jersey Baby!"
109,"RT @CruzinAhead: What Trump knows would happen in a 1 on 1 vs @tedcruz!! #DuckingDonald is afraid to debate Cruz on issues! https://t.co¡­","South Carolina - USA"
110,"RT @The_Big_Asshole: Posted previously without comment... but something has to be said. Even just campaigning Trump is destroying us. ht¡­","California - USA"
111,"RT @trumpforwin: Real life video of the Republican Establishment versus the Trump Train. Guess what? There are no brakes.... @theuns¡­ https¡­","Maine - USA"
112,"RT @ThomboyD: If you think Hillary is a greater threat to our future than Trump you either need a history book or professional counseling.¡­","Dallas - Texas"
113,"RT @Tigermoosei: @toddstarnes It appears you are beginning your eventual transition to supporting Trump. You are in the anti-anti-Trump ph¡­","Dallas - TX and Prague - OK"
114,"Watch &amp; RT Funny Donald Trump Video https://t.co/XB7VUncDQ6 via @YouTube #NeverTrump #Latinos #Arizona #NewJersey #oreillyfactor #foxnews","#PuertoRico"
115,"RT @unclebubba9: Thanks. Trump has been right and ridiculed from the beginning. Not too many people laughing in Europe. https://t.co/Tz9¡­","Merced - CA"
116,"RT @andrewperezdc: Pro Clinton super PAC touting analysis that's concerned Trump will kill TPP - which Clinton says she opposes https://t.c¡­","United States"
117,"RT @CheriJacobus: 'Blaming the victim?' Daily Beast: Eric Bolling cast off Michelle Fields for dissing Trump campaign https://t.co/7jX4sIte¡­","Scottsboro - AL"
118,"RT @PatrickSvitek: Missed this somehow ¡ª Carson on Trump comparing him to a child molester: You have to admit ... that it did work. http¡­","#RKBA in fly-over swMO"
119,"RT @Patriotic_Me: #LyingTed won 7 states Trump won: #NH #SC #NV #AL #AR #GA #MA #TN #VT #VA #KY #LA #HI #MI #MS #FL #IL #MO #NC #MR https:¡­","New York"
120,"RT @Norsu2: @AG_Conservative @FoxNews @loudobbsnews Dobbs blocked me too. Fox is getting taken over by Trump NY Media elites @seanhannity¡­","South Carolina - USA"
121,"RT @Campaign_Trump: They are not against Trump. They are against what Trump represents. #Trump represent anti-establishment. GOP &amp; DEMS are¡­","United States"
122,"RT @loudobbsnews: Roger Stone on How GOP Elite Plan To Rob Donald Trump https://t.co/0UHCRGCnp0 via @realalexjones #MakeAmericaGreatAgain #¡­","Ohio - USA"
123,"RT @HillaryClinton: Hate isn't an American value. Division isn't something to be glorified. We can¡¯t let Trump be our next president. https¡­","UK"
124,"RT @LeahR77: Hey Media : Trump Had More Votes Than Granny Hillary IN Both Ohio &amp; MO https://t.co/HJXUduxRez #Trump2016 https://t.co/lHWSIa¡­","Los Angeles - California"
125,"RT @StatesPoll: Long Island(Part of NY state) Poll 2/14-2/18 984RV TRUMP 41% Hillary 38% Details: https://t.co/hIUTnmecEJ #VoteTrump #Alway¡­","World Wide "
126,"RT @umpire43: @umpire43 To shorten this Trump has billions in Properties and employs 43083 combined in NY CT Del NJ ML and CA and they are ¡­","South Carolina"
127,"RT @TRUMP_PREZ: #TRUMP SUPPORTERS BEWARE Thete is a new anti-Trump plot called 'Democracy SPRING' funded by Soros liberals &amp; establishmen¡­","SAN DIEGO - CA"
128,"RT @jupiter896: It¡¯s On: Anonymous Just Leaked Trump¡¯s Social Security Number Private Personal Info - https://t.co/gFNRdW6rAM #UniteBlue #¡­","houston tx"
129,"RT @HeerJeet: Frank Gaffney Ted Cruz's new foreign policy advisor makes Donal Trump look like a model of sober realism: https://t.co/Dmka¡­","Washington - DC"
130,"RT @chiefragingbull: Drive-Bys Crave the Riots They Claim Trump Will Incite - The Rush Limbaugh Show https://t.co/dl1Y52UJ2g @CarolHello1 @¡­","California??¡ï??Conservative"
131,"RT @maxroth: So Donald Trump is going to Utah's most ethnically and racially diverse community (Fairpark area) at 9pm on a Friday. #utpol @¡­","Bookmarks & Following-on-Mute"
132,"RT @mitchellvii: Cruz's smart play here would be to drop out after AZ endorse Trump and hope for a spot on his Cabinet. If he continues h¡­","Trumpville - USA"
133,"RT @Pudingtane: @karlrove U would rather hav another Obama &amp; Constitutional FRAUD in WH then accept TRUMP....this is REALLY a crisis. I'm d¡­","Terra"
134,"RT @Johnatsrs1949: Pls RT. Trump supporters please call #STOP #RNC @reince and tell him we vote Trump Only. 202 863 8500 press 9 then 7 htt¡­","North Carolina - USA"
135,"RT @kkondik: One of the great holes in a lot of these poor whites might go to Trump arguments is that they seem to ignore the growing non¡­","New Hampshire"
136,"RT @RawStory: Police seek arrest of another Trump supporter for bloody violent assault on black activist https://t.co/pS04D6yFob https://t¡­","Israel"
137,"RT @gloed_up: #AnthonyCage was bloodied at St. Louis Trump rally. Spread this like wild fire #TrumpRallyChi #BlackToLive https://t.co/ChJGH¡­","Los Angeles - CA"
138,"RT @PJStrikeForce: ???? Time 4 All #USA #Conservative &amp; #Libertarian #Patriots #Unite W/TheLeader #TRUMP #TLOT #TCOT #CCOT #OhHillNo ???? htt¡­","Florida - USA"
139,"RT @Lrihendry: One quick way to identify the very unfavorable look at all the bitter looking bitches ! They're anti-trump #TRUMP https://¡­","Los Angeles - California"
140,"RT @WayneDupreeShow: New Arizona Poll - Trump 37.3% Cruz 23.3.% Kasich 14.6%; Winner Take All! https://t.co/VAhhVNd5QZ #AlwaysTrump #Tru¡­","ohio"
141,"RT @rhomarti: @toddstarnes Don't see it that way.I would support other nominee but not Trump.He is the same as Hillary with worse hair.Both¡­","Dallas - TX and Prague - OK"
142,"RT @TRUMP_PREZ: #TRUMP SUPPORTERS BEWARE Thete is a new anti-Trump plot called 'Democracy SPRING' funded by Soros liberals &amp; establishmen¡­","Florida - USA"
143,"RT @LollieCouture: #Proud #Americans #VOTE #Trump2016 #UnitedWeStand NO #Cruz #Kasich =Hillary 4potus &amp; NO JOBS #Trump FIGHTS 4R #USA http¡­","Arizona - USA"
144,"RT @TheresaMechele: Talk Radio Host Michael Savage Endorses Donald J Trump for President #AZ #UT #NE #CA #NY #IN #WV #Trump2016 https://t.¡­","USA"
145,"RT @DREWDISCIPLE: Not only did Trump knock #LittleMarco out of the presidential race he may have knocked him out of politics for GOOD http¡­","Gator Country Florida"
146,"RT @MassAdvisors: #CNBC's Jim Cramer: #Trump 'Right About Trade' https://t.co/kI0Gfdx1R3 He¡¯s been right the whole way.¡± while Establishm¡­","Dallas - Texas"
147,"RT @megynkelly: .@TedCruz: Donald Trump ¡°looks down on the voters. He thinks they¡¯re gullible and will believe whatever he¡¯s saying.¡± #Kel¡­","United States"
148,"RT @politico: Police drop charges against CBS News reporter arrested in the aftermath of Donald Trump's canceled Chicago rally https://t.c¡­","Hudson - MA"
149,"RT @TrussElise: #TRUMP &amp; Citizens VS GLOBALIST GOP WE SUPPORT &amp; VOTE 4 #ALWAYSTRUMP https://t.co/0dI9TD0zXP https://t.co/uoc0ACeE53","Norge DUAL US CITIZ"
150,"RT @TeaPainUSA: POLL: One half of women have a unfavorable view of Donald Trump. Apparently the other half have an unfavorable view of them¡­","Bullhead City - AZ"
151,"RT @masg66: Check out @PuestoLoco video. He got under #Trumps skin. Trump wants to sue him. Lol! @TheFix @maddow @MarkHalperin https://t.c¡­","North Carolina - USA"
152,"RT @PatriciaLRiver2: We the supporters of Donald Trump do not want him to become a talking head like the rest of these politicians will tak¡­","Everett - WA"
153,"@rossr122 @benshapiro thats actually funny considering ur making fun of Trump heritage real name be4 it was changed was Drumph its German","Texas - USA"
154,"RT @HillaryClinton: Hate isn't an American value. Division isn't something to be glorified. We can¡¯t let Trump be our next president. https¡­","Pretoria - South Africa"
155,"RT @mitchellvii: We won't get to brokered convention but even if we did they would pick Trump or be guaranteed a loss when he goes 3rd par¡­","Washington - USA"
156,"So on the one hand she legitimately wants to vote for Trump for president. On the other hand Dem Tits tho.............. #FirstWorldPronlems","Joe Mommas House"
157,"RT @End_of_Europe: These US elections will decide the worldwide immigration agenda. It's Trump's realism vs. Hillary's fairy tales. https:/¡­","NH USA "
158,"markfidelman : How the White House will look if Trump is elected - and Mexico will pay for¡­ https://t.co/nWLdsdmxxK) https://t.co/sxxbcIKGKf","Dhaka.Bangladesh"
159,"RT @scottlincicome: Bt Trump Bolling Dobbs etc you cldn't script a better leftists infiltrate the conservative mvmt to prove every ste¡­","Scottsboro - AL"
160,"RT @JohnStossel: I can skate here ONLY b/c @realdonaldtrump fixed this rink after NYC gov¡¯t spent $13M but FAILED! Good for Trump! https:/¡­","New Mexico - USA"
161,"RT @CheriJacobus: Trumpkins putting out a lot of this nazi and racist stuff tonight. Trump emboldens them. They need to be exposed https://¡­","Tennessee - USA"
162,"RT @LindaSuhler: The only 'threat' Donald Trump represents is to the establishment hacks who've sucked us dry. And the Third World dumping ¡­","NYC"
163,"Trump IS the right candidate 4 POTUS 2016. Don¡¯t leave it to chance or the GOPe. YOU MUST Get Up &amp; Go VOTE 4 Trump! https://t.co/U7JSHqjaPc","California - USA"
164,"RT @CherylBesser: Trump has no core no coherent rational set of beliefs other than to make you believe him. https://t.co/e3FihBmLWC #Un¡­","#deathpenalty4obama"
165,"If #Trump has killed 6 million people surely that would've leaked by now or maybe Hillary is saving that bombshell for the general election","USA"
166,"RT @neuroticnews: @mimibra4u @intrumpswords @realDonaldTrump They will not stop if Trump doesn't have the delegates. They have already bee¡­","Nunya Bidness -TN"
167,"RT @jaynordlinger: Trump's best friend now is an air of inevitability. There is no need for conservatives to accept him. There IS a need to¡­","Contra Costa County - CA"
168,"RT @MikeBates: The politicians endorsing Trump are exercising profoundly poor judgement. Some voters will remember that in future elections¡­","Texas"
169,"RT @chrislhayes: My point is that the people that managed to secure W the presidency could probably find some way to not nominate Trump if ¡­","USA"
170,"RT @immigrant4trump: African Americans for Trump 2016 ??https://t.co/UjMTAK5lEL #Trump2016 #BlacksForTrump @TaraSetmayer @ErinBurnett https:¡­","Mr.Crowman's"
171,"RT @HillaryClinton: Hate isn't an American value. Division isn't something to be glorified. We can¡¯t let Trump be our next president. https¡­","somewhere in the 610"
172,"RT @mmurraypolitics: Day of Romney's anti-Trump speech Trump held a 23-delegate lead over Cruz per NBC's count. Two weeks later Trump's¡­","California - USA"
173,"RT @WesleyRickard: Representative Joseph Trillo RI Endorses Donald J Trump for President of the United States #RI #DE #CT #NJ #NY #PA https¡­","Atlanta - GA"
174,"RT @Johnatsrs1949: @GOP We're keeping track of those playing 'stop Trump' Game. We'll be coming for you when you're up for re-election htt¡­"," PENNSYLVANIA "
175,"RT @peaceandjoy101: Truth Bomb! This is #Trump web-site with policies&amp;other great information. https://t.co/vtIOJ3wfq2 RT 4 those who may ¡­","texas"
176,"@littlmaGGie @BecketAdams @dcexaminer I am so sorry 4Cruz supporters instead of unifying w front runner &amp; crash HellaRy decide 2 hate Trump","New Jersey - USA"
177,"RT @Wisconsin4Guns: Thousands rush to become US citizens so they can vote against Trump 800 000+ only in Florida https://t.co/frpviLSmsf ht¡­","Legal permanent US resident"
